bangla_speech,combined,ipa_output
আমার বাসার দারওয়ান অনেক ভালো মানুষ,Barishal  মোর বাড়ির চহিদার বেমালা ভালো মানু,bɐɾɔhɐl  moɾ bɐɽɪɾ cohɪd̪ɐɾ bemɐlɐ bʱɐlo mɐnu
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,Barishal  মোর দোস্ত খুলনা ঘোরতে গ্যাছে,bɐɾɔhɐl  moɾ d̪ost̪o kʰulnɐ gʱoɾt̪e gɛcʰe
আমার ঘুরতে অনেক ভালো  লাগে,Barishal  মোর ঘোরতে বেমালা ভালো লাগে,bɐɾɔhɐl  moɾ gʱoɾt̪e bemɐlɐ bʱɐlo lɐge
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,Barishal  মুই বিদ্যাশ যাইয়া বেমালা ঘোরতে চাই,bɐɾɔhɐl  mu͡ɪ̯ bɪd̪d̪ɐʃ ɟɐ͡ɪ̯ʲɐ bemɐlɐ gʱoɾt̪e cɐ͡ɪ̯
তুমি আমাকে বিরক্ত করো না,Barishal  তুমি মোরে বিরক্ত কইররো না,bɐɾɔhɐl  t̪umɪ moɾe bɪɾokt̪o ko͡ɪ̯ɾoɾo nɐ
তিনি আমাকে অনেক অপমান করেছে,Barishal  হ্যায় মোরে ম্যালা অপমান করছে,bɐɾɪʃɐl  hɛe̯ moɾe mɛlɐ ɔpomɐn koɾcʰe
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,Barishal  মোর বেইন্নাহালে উইঠ্যা বই পড়তে বেমালা ভালো লাগে,bɐɪʃɐl  moɾ be͡ɪ̯nnɐhɐle u͡ɪ̯tʰɐ bo͡ɪ̯ poɽt̪e bemɐlɐ bʱɐlo lɐge
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,Barishal  মোর ছোডো ভাই এক্কালেই পড়াল্যাহা করতে চায় না,bɐɾɔhɐl  moɾ cʰodo bʱɐ͡ɪ̯ ɛkkɐle͡ɪ̯ pɔɽɐlɛhɐ koɾt̪e cɐe̯ nɐ
আমার ছোট ভাই  বিদ্যালয়ে  যেতে চায় না,Barishal  মোর ছোডো ভাই ইস্কুলে যাইতে চায় না,bɐɾɔhɐl  moɾ cʰodo bʱɐ͡ɪ̯ ɪskule ɟɐ͡ɪ̯t̪e cɐe̯ nɐ
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,Barishal  মোর ছোডো ভাইয়ের ইস্কুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না,bɐɾɔhɐl  moɾ cʰodo bʱɐ͡ɪ̯ʲeɾ ɪskule ɟɐ͡ɪ̯ʲɐ pɔɽɐlɛhɐ koɾt̪e bʱɐlo lɐge nɐ
আমি একদিন  বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,Barishal  মুই একদিন ইস্কুলের মাডে মাথা ঘুরাইয়া পইররা গ্যাল্লাম,bɐɾɔhɐl  mu͡ɪ̯ ɛkd̪ɪn ɪskuleɾ mɐde mɐt̪ʰɐ gʱuɾɐ͡ɪ̯ʲɐ po͡ɪ̯ɾɾɐ gɛllɐm
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,Barishal  আমনে কি মোরে কোনকালেও ভালবাসবেন না?,bɐɾɔhɐl  ɐmone kɪ moɾe konkɐle͡o̯ bʱɐlbɐʃben nɐ?
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,Barishal  মোর দোস্ত আইজগো বেইন্নাহালে ফুটবল খ্যালছে,bɐɾɔhɐl  moɾ d̪ost̪o ɐ͡ɪ̯ɟgo be͡ɪ̯nnɐhɐle pʰutbɔl kʰɛlcʰe
তুমি আমার মনের কথা একদমই বুঝো না ,Barishal  তুমি মোর মনের কথ এক্কালেই বোঝো না,bɐɾɔhɐl  t̪umɪ moɾ moneɾ kɔt̪ʰ ɛkkɐle͡ɪ̯ boɟʱo nɐ
আমার আম্মু অনেক ভালো রান্না করে,Barishal  মোর মায় বেমালা ভালো রান্দে,bɐɾɔhɐl  moɾ mɐe̯ bemɐlɐ bʱɐlo ɾɐnd̪e
আমার বন্ধু এখন ঘুমাতে যাবে,Barishal  মোর দোস্ত এহন ঘুনাইতে যাইবে,bɐɾɔhɐl  moɾ d̪ost̪o ehon gʱunɐ͡ɪ̯t̪e ɟɐ͡ɪ̯be
আমার ছোট বোন নাচতে পারে,Barishal  মোর ছোডো বুইন নাচতে পারে,bɐɾɔhɐl  moɾ cʰodo bu͡ɪ̯n nɐct̪e pɐɾe
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,Barishal  মোর দোস্ত এইফির ছুটিতে রাজশাহী ঘোরতে যাইবে,bɐɾɔhɐl  moɾ d̪ost̪o e͡ɪ̯pʰɪɾ cʰutɪt̪e ɾɐɟʃɐhɪ gʱoɾt̪e ɟɐ͡ɪ̯be
আমার বন্ধু  যাকে ভালবাসে  সে রাজশাহী থাকে,Barishal  মোর দোস্ত যারে ভালোবাসে হ্যায় রাজশাহী থাহে,bɐɾɔhɐl  moɾ d̪ost̪o ɟɐɾe bʱɐlobɐʃe hɛe̯ ɾɐɟʃɐhɪ t̪ʰɐhe
মেয়েটি  রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,Barishal  মাইয়াডা রাজশাহী গোনে মোর বড় ভাইর লগে দ্যাহা করতে আইল্লে,bɐɾɔhɐl  mɐ͡ɪ̯ʲɐdɐ ɾɐɟʃɐhɪ gone moɾ bɔɽo bʱɐ͡ɪ̯ɾ lɔge d̪ɛhɐ koɾt̪e ɐ͡ɪ̯lle
মেয়েটি এখন সিলেট যাবে,Barishal  মাইয়াডা এহন সিলেট যাইবে,bɐɾɔhɐl  mɐ͡ɪ̯ʲɐdɐ ehon sɪlet ɟɐ͡ɪ̯be
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,Barishal  মোর বড় ভাই এহন হ্যার দোস্তগো লগে বিরি খায় না,bɐɪʃɐl  moɾ bɔɽo bʱɐ͡ɪ̯ ehon hɛɾ d̪ost̪ogo lɔge bɪɾɪ kʰɐe̯ nɐ
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,Barishal  আমনে কি মোরে আগে কোনদিন দ্যাখছেন?,bɐɾohɐl  ɐmone kɪ moɾe ɐge kond̪ɪn d̪ɛkʰcʰen?
ছেলেটি আমাকে চিনতে পারল না,Barishal  পোলাডায় মোরে চেনতে পারল না,bɐɾɔhɐl  polɐdɐe̯ moɾe cent̪e pɐɾol nɐ
মেয়েটি তোমাকে  চিনতে পারল না,Barishal  মাইয়াডা তোমারে চেনতে পারল না,bɐɾɔhɐl  mɐ͡ɪ̯ʲɐdɐ t̪omɐɾe cent̪e pɐɾol nɐ
আমার এখন পড়ালেখা করা উচিত,Barishal  মোর এহন পড়াল্যাহা করা উচিত,bɐɾɔhɐl  moɾ ehon pɔɽɐlɛhɐ kɔɾɐ ucɪt̪
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,Barishal  বেমালা রাইত হইছে এহন মোর ছোডো বুইন ঘুমাইতে যাইবে,bɐɾɔhɐl  bemɐlɐ ɾɐ͡ɪ̯t̪o ho͡ɪ̯cʰe ehon moɾ cʰodo bu͡ɪ̯n gʱumɐ͡ɪ̯t̪e ɟɐ͡ɪ̯be
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,Barishal  মোর পরিক্ষার আগে হগল কিছু লইয়া পড়াল্যাহা করতে হইবে,bɐɾɔhɐl  moɾ poɾɪkkʰɐɾ ɐge hɔgol kɪcʰu lɔ͡ɪ̯ʲɐ pɔɽɐlɛhɐ koɾt̪e ho͡ɪ̯be
আমার ছোট ভাই বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,Barishal  মোর ছোডো ভাই ইস্কুলে যাইয়া দোস্তগো লগে কেসসা করে,bɐɾɪʃɐl  moɾ cʰodo bʱɐ͡ɪ̯ ɪskule ɟɐ͡ɪ̯ʲɐ d̪ost̪ogo lɔge kesʃɐ koɾe
আমার বন্ধু বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,Barishal  মোর দোস্ত ইস্কুলের মাডে পেরতেকদিন কিরকেট খ্যালে,bɐɾɔhɐl  moɾ d̪ost̪o ɪskuleɾ mɐde peɾt̪ekd̪ɪn kɪɾɔket kʰɛle
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,Barishal  এউক্কা ল্যাদা গেদু ফুটপাতে লাফাইতেয়াছে,bɐɾɔhɐl  ɛ͡u̯kkɐ lɛd̪ɐ ged̪u pʰutpɐt̪e lɐpʰɐ͡ɪ̯t̪eʲɐcʰe
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,Barishal  মোর বান্ধুবি হ্যার জামাইরে বেমালা ভালোবাসে,bɐɾɔhɐl  moɾ bɐnd̪ʱubɪ hɛɾ ɟɐmɐ͡ɪ̯ɾe bemɐlɐ bʱɐlobɐʃe
আমার স্ত্রী আমাকে  ভালোবাসে না,Barishal  মোর বউ মোরে ভালবাসে না,bɐɾɔhɐl  moɾ bɔ͡u̯ moɾe bʱɐlbɐʃe nɐ
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের  প্রেম ছিলো,Barishal  ইস্কুল জীবন গোনে মোর ভাইর লগে তোমার বুইনের পেরেম আল্লেহ,bɐɾɔhɐl  ɪskul ɟɪbɔn gone moɾ bʱɐ͡ɪ̯ɾ lɔge t̪omɐɾ bu͡ɪ̯neɾ peɾem ɐlleh
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,Barishal  মোর গ্যাছেকাইল বেমালা মাথা ব্যাথা করতেয়াছেলে,bɐɾɔʃɐl  moɾ gɛcʰekɐ͡ɪ̯l bemɐlɐ mɐt̪ʰɐ bɛt̪ʰɐ koɾt̪eʲɐcʰele
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,Barishal  মুই তোমার কোন কথা কিছুই বোঝতে পারলাম না,bɐɾɔhɐl  mu͡ɪ̯ t̪omɐɾ kon kɔt̪ʰɐ kɪcʰu͡ɪ̯ boɟʱot̪e pɐɾlɐm nɐ
তোমার  হাশির কাছে আমার সব কিছু হার মেনে যায়,Barishal  তোমার হাশির ধারে মোর হগল কিছু ঠইজ্ঞা যায়,bɐɾɔʃɐl  t̪omɐɾ hɐʃɪɾ d̪ʱɐɾe moɾ hɔgol kɪcʰu tʰo͡ɪ̯ggɐ ɟɐe̯
তোমার  চোখ দুটো অনেক সুন্দর,Barishal  তোমার চক্ষু দুইডা বেমালা সুন্দর,bɐɾɔhɐl  t̪omɐɾ cokkʰu d̪u͡ɪ̯dɐ bemɐlɐ ʃund̪ɔɾ
তোমার সাথে অনেক দিন পর  দেখা,Barishal  তোমার লগে ম্যালা দিন পর দ্যাহা,bɐɾɔhɐl  t̪omɐɾ lɔge mɛlɐ d̪ɪn pɔɾ d̪ɛhɐ
ছেলেটি  বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,Barishal  পোলাডা বিদ্যাশে যাইয়া পড়াল্যাহা করার হপন দ্যাহে,bɐɾɔhɐl  polɐdɐ bɪd̪d̪ɐʃe ɟɐ͡ɪ̯ʲɐ pɔɽɐlɛhɐ kɔɾɐɾ hɔpon d̪ɛhe
তোমার  সাথে কথা বলে আমার অনেক ভালো লাগলো,Barishal  তোমার লগে কথা কইয়া মোর বেমালা ভালো লাগছে,bɐɾɔhɐl  t̪omɐɾ lɔge kɔt̪ʰɐ ko͡ɪ̯ʲɐ moɾ bemɐlɐ bʱɐlo lɐgcʰe
তোমার বন্ধুর সাথে পরিচিত হয়ে  ভালো লাগলো,Barishal  তোমার দোস্তের লগে পরিচিত হইয়া ভালো লাগছে,bɐɾɔhɐl  t̪omɐɾ d̪ost̪eɾ lɔge poɾɪcɪt̪o ho͡ɪ̯ʲɐ bʱɐlo lɐgcʰe
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,Barishal  মোর আব্বা আর চাচার লগে জায়গা জমি লইয়া কাইজ্জা হয়,bɐɾɔhɐl  moɾ ɐbbɐ ɐɾ cɐcɐɾ lɔge ɟɐʲgɐ ɟomɪ lɔ͡ɪ̯ʲɐ kɐ͡ɪ̯ɟɟɐ hɔe̯
লোকটি কিছু দিন আগে  বিয়ে করেন,Barishal  ব্যাডাডা কয় দিন আগে বিয়া করছে,bɐɾɔhɐl  bɛdɐdɐ kɔe̯ d̪ɪn ɐge bɪʲɐ koɾcʰe
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,Barishal  পোরথোম তোমারে এউক্কা বইয়ের দোকানে যাইতে হইবে,bɐɾɔhɐl  poɾt̪ʰom t̪omɐɾe ɛ͡u̯kkɐ bo͡ɪ̯ʲeɾ d̪okɐne ɟɐ͡ɪ̯t̪e ho͡ɪ̯be
বেশি কিছু বলার আগেই  আবেগে চোখে পানি চলে আসছে,Barishal  বেশি কিছু কয়ার আগেই চোউখে পানি চইল্লা আইছে, bɐɾɔhɐl  beʃɪ kɪcʰu kɔʲɐɾ ɐge͡ɪ̯ co͡u̯kʰe pɐnɪ co͡ɪ̯llɐ ɐ͡ɪ̯cʰe
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,Barishal  আমনের দোস্তগো খামার দেওয়ার সুযোগ কইররা দেন,bɐɾɔhɐl  ɐmoneɾ d̪ost̪ogo kʰɐmɐɾ d̪e͡o̯ʷɐɾ ʃuɟog ko͡ɪ̯ɾɾɐ d̪ɛn
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,Barishal  বেমালা মানু এহনো পাছে লাইনে খারাইয়া আছে,bɐɾɔhɐl  bemɐlɐ mɐnu ehono pɐcʰe lɐ͡ɪ̯ne kʰɐɾɐ͡ɪ̯ʲɐ ɐcʰe
একজন মহিলা  মারা গেছেন,Barishal  এউক্কা মাতারি মইরা গ্যাছে,bɐɾɔhɐl  e͡u̯kkɐ mɐt̪ɐɾɪ mo͡ɪ̯ɾɐ gɛcʰe
আপনি  এত গরীব আগে কেন বলেননি,Barishal  আমনে এত খয়রাতি আগে কিরলইজ্ঞা কন নাই,bɐɾone ɛt̪o kʰɔʲɾɐt̪ɪ ɐge kɪɾolɪggɐ kon nɐ͡ɪ̯
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,Barishal  তুমি ছাড়া এই পিরথিবিতে মোর আর কেউ নাই,bɐɾɔhɐl  t̪umɪ cʰɐɽɐ e͡ɪ̯ pɪɾot̪ʰɪbɪt̪e moɾ ɐɾ ke͡u̯ nɐ͡ɪ̯
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,Barishal  মুই আগেই কইছি তোমারে লইয়া বিদ্যাশ ঘোরতে চাই,bɐɾɪhɐl  mu͡ɪ̯ ɐge͡ɪ̯ ko͡ɪ̯cʰɪ t̪omɐɾe lɔ͡ɪ̯ʲɐ bɪd̪d̪ɐʃ gʱoɾt̪e cɐ͡ɪ̯
আমার আম্মু আমাকে সবার  সামনে মারতে মারতে বাসায় নিয়ে আসে,Barishal  মোর মায় মোরে বেবাকটির সামনে পিডাইতে পিডাইতে বাড়ি লইয়া আইছে,bɐɾɔhɐl  moɾ mɐe̯ moɾe bebɐktɪɾ ʃɐmne pɪdɐ͡ɪ̯t̪e pɪdɐ͡ɪ̯t̪e bɐɽɪ lɔ͡ɪ̯ʲɐ ɐ͡ɪ̯cʰe
আপনি কি জানেন  এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,Barishal  আমনে কি জানেন এইহানে ম্যালা পোলা কমেন্ট পড়তে আইবে,bɐɾɔhɐl  ɐmone kɪ ɟɐnen e͡ɪ̯hɐne mɛlɐ polɐ kɔment poɽt̪e ɐ͡ɪ̯be
আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,Barishal  আবেগের ভালবাসা কাউরে দেওয়া উচিত না,bɐɾɔhɐl  ɐbegeɾ bʱɐlbɐʃɐ kɐ͡u̯ɾe d̪e͡o̯ʷɐ ucɪt̪ nɐ
একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,Barishal  একদিন বিবেকের ধারে ভালোবাসা ঠইজ্ঞা যাইবে,bɐɾɔhɐl  ɛkd̪ɪn bɪbekeɾ d̪ʱɐɾe bʱɐlobɐʃɐ tʰo͡ɪ̯ggɐ ɟɐ͡ɪ̯be
আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,Barishal  মোর মনের ভালবাসা আজিবন তোমার লইজ্ঞা থাইক্কা যাইবে,bɐɪʃɐl  moɾ moneɾ bʱɐlbɐʃɐ ɐɟɪbɔn t̪omɐɾ lo͡ɪ̯ggɐ t̪ʰɐ͡ɪ̯kkɐ ɟɐ͡ɪ̯be
জীবনে একা একা পথ চলা অনেক কঠিন,Barishal  জীবনে একলা একলা পথ চলা ম্যালা কঠিন,bɐɾɔhɐl  ɟɪbone ɛklɐ ɛklɐ pɔt̪ʰ cɔlɐ mɛlɐ kotʰɪn
আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,Barishal  মোর জীবন মুই তোমারে লইয়া বাচার লইজ্ঞা দিমু,bɐɪʃɐl  moɾ ɟɪbɔn mu͡ɪ̯ t̪omɐɾe lɔ͡ɪ̯ʲɐ bɐcɐɾ lo͡ɪ̯ggɐ d̪ɪmu
আমার ভালবাসা  দিয়ে  সারাজীবন তোমার পাশে থাকতে চাই,Barishal  মোর ভালোবাসা দিয়া আজীবন তোমার ধারে থাকতে চাই,bɐɪʃɐl  moɾ bʱɐlobɐʃɐ d̪ɪʲɐ ɐɟɪbɔn t̪omɐɾ d̪ʱɐɾe t̪ʰɐkt̪e cɐ͡ɪ̯
তোমাকে কি করে বুঝাবো তোমাকে কতটা ভালবাসি?,Barishal  তোমারে ক্যামনে বুঝামু তোমারে কতডা ভালবাসি?,bɐɾɪʃɐl  t̪omɐɾe kɛmone buɟʱɐmu t̪omɐɾe kɔt̪odɐ bʱɐlbɐʃɪ?
আপনাকে দেখে আমি দেখে থমকে দারিয়ে ছিলাম,Barishal  আমনেরে দেইকখা মুই থমকাইয়া খারাইয়া আল্লাম,bɐɾɔhɐl  ɐmoneɾe d̪e͡ɪ̯kkʰɐ mu͡ɪ̯ t̪ʰɔmkɐ͡ɪ̯ʲɐ kʰɐɾɐ͡ɪ̯ʲɐ ɐllɐm
আপনি  খুব কষ্টে নিজেকে সামলে নিয়েছেন,Barishal  আমনে বেমালা কষ্টে নিজেরে সামলাইয়া নেছেন,bɐɾɔhɐl  ɐmone bemɐlɐ koʃte nɪɟeɾe ʃɐmlɐ͡ɪ̯ʲɐ necʰen
আমার বান্ধুবি কিছু ভাবতে পারেনা আপনাকে  ছাড়া,Barishal  মোর বান্ধুবি কিছু ভাবতে পারেনা আমনেরে থুইয়া,bɐɾɪʃɐl  moɾ bɐnd̪ʱubɪ kɪcʰu bʱɐbt̪e pɐɾenɐ ɐmoneɾe t̪ʰu͡ɪ̯ʲɐ
আমার বন্ধু কিছু লিখতে পারেনা  আপনার নাম ছাড়া,Barishal  মোর দোস্ত কিছুই ল্যাখতে পারেনা আমনের নাম ছাড়া,bɐɾɔhɐl  moɾ d̪ost̪o kɪcʰu͡ɪ̯ lɛkʰt̪e pɐɾenɐ ɐmoneɾ nɐm cʰɐɽɐ
আপনাকে ভালোবাসি  এই কথাটি বলা বাকি,Barishal  আমনেরে ভালবাসি এই কথাডা কওয়া বাকি,bɐkɪ
আমার আব্বুর খুব গরম লাগছে,Barishal  মোর আব্বার বেমালা গরম লাগতেয়াছে,bɐɾɔhɐl  moɾ ɐbbɐɾ bemɐlɐ gɔɾom lɐgt̪eʲɐcʰe
আমার ছোট বোনের গরম লাগছে,Barishal  মোর ছোডো বুইনের গরম লাগতেয়াছে,bɐɾɔhɐl  moɾ cʰodo bu͡ɪ̯neɾ gɔɾom lɐgt̪eʲɐcʰe
এই শিশুটির অনেক ঠাণ্ডা লাগছে,Barishal  এই গেদুডার বেমালা ঠান্ডা লাগছে,bɐɾɔhɐl  e͡ɪ̯ ged̪udɐɾ bemɐlɐ tʰɐndɐ lɐgcʰe
আমার বন্ধুর খুব মন খারাপ,Barishal  মোর দোস্তের বেমালা মন খারাপ,bɐɾɔhɐl  moɾ d̪ost̪eɾ bemɐlɐ mon kʰɐɾɐp
আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,Barishal  মায় মোর লইজ্ঞা নীল কাপুড় কিন্না আনছে,bɐɽcʰe  mɐe̯ moɾ lo͡ɪ̯ggɐ nɪl kɐpuɽ kɪnnɐ ɐncʰe
আমি আমার বন্ধুকে  একটি লাল গোলাপ কিনে উপহার দিয়েছি,Barishal  মুই মোর দোস্তরে এউক্কা লাল গোলাপ কিন্না উপহার দিছি,bɐɾɔhɐl  mu͡ɪ̯ moɾ d̪ost̪ɔɾe e͡u̯kkɐ lɐl golɐp kɪnnɐ upohɐɾ d̪ɪcʰɪ
আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,Barishal  মুই মোর জামাইর লগে বিকালে পার্কে ঘোরতে যামু,bɐɾɔhɐl  mu͡ɪ̯ moɾ ɟɐmɐ͡ɪ̯ɾ lɔge bɪkɐle pɐɾke gʱoɾt̪e ɟɐmu
কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,Barishal  কাউরে ভালবাসা দেওনেই বেশি আনন্দ লাগে মোর,bɐɾɔhɐl  kɐ͡u̯ɾe bʱɐlbɐʃɐ d̪e͡o̯ne͡ɪ̯ beʃɪ ɐnond̪o lɐge moɾ
"যদি তুমি আমার কাছে ফিরে আস ,তবে তাকে ছেড়ে দাও","Barishal  যদি তুমি মোর ধারে ফিররা আও, তয় হ্যারে ছাইররা দেও","bɐɾɔhɐl  ɟod̪ɪ t̪umɪ moɾ d̪ʱɐɾe pʰɪɾɾɐ ɐ͡o̯, t̪ɔe̯ hɛɾe cʰɐ͡ɪ̯ɾɾɐ d̪e͡o̯"
সে তোমার জন্য সব কিছু করতে পারে,Barishal  হ্যায় তোমার লইজ্ঞা হগল কিছু করতে পারে,bɐɾɔʃɐl  hɛe̯ t̪omɐɾ lo͡ɪ̯ggɐ hɔgol kɪcʰu koɾt̪e pɐɾe
আপনি যে মানুষটিকে ভালবাসবেন  তাকে যদি না বুঝতে পারেন  তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,Barishal  আমনে যেই মানুডারে ভালোবাসবেন হ্যারে যদি না বোঝতে পারেন হ্যালে আমনের এই প্রেমের কোন অর্থ নাই,bɐɾone ɟe͡ɪ̯ mɐnudɐɾe bʱɐlobɐʃben hɛɾe ɟod̪ɪ nɐ boɟʱot̪e pɐɾen hɛle ɐmoneɾ e͡ɪ̯ pɾemeɾ kon ɔɾ
আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,Barishal  আমনে নিজে অসুখী হইয়া ক্যামনে অন্যরে ভালোবাইসসা সুখী করবেন?,bɐɾoʃɐl  ɐmone nɪɟe ɔʃukʰɪ ho͡ɪ̯ʲɐ kɛmone ɔnnoɾe bʱɐlobɐ͡ɪ̯sʃɐ ʃukʰɪ koɾben?
