bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa,english_translation,PIE_root,PIE_gloss
অযোগ্য,od͡zoɡɔd͡zɔ,অযোগ্য,ɔɟoggo,আকাইম্মা,ɐkɐ͡ɪ̯mmɐ,অযোগ্য,ɔɟoggo,অযোইগ্যা,ɔɟo͡ɪ̯gkɐ,অযোগ্য,ɔzoggo,Ineligible,,
অর্জন,ord͡ʑɔn̪ɔ,অর্জন,ɔɾɟon,লইছি,lo͡ɪ̯cʰɪ,অর্জন,ɔɾɟon,কইচ্ছী,ko͡ɪ̯ccʰɪ,ডিগ্রি,dɪgɾɪ,Achievement,,
অশান্তি,oɕan̪t̪i,অশান্তি,ɔʃɐnt̪ɪ,অশান্তি,ɔʃɐnt̪ɪ,অশান্তি,ɔʃɐnt̪ɪ,ওকগা,okgɐ,অশান্তি,ɔʃɐnt̪ɪ,Turmoil,,
অসাধারণ,os̪ad̪̤arɔnɔ,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাদারন,ɔʃɐd̪ɐɾon,Extraordinary,,
অসুখ,os̪ukʰɔ,অসুখ,ɔʃukʰ,অসুখ,ɔʃukʰ,অসুখ,ɔʃukʰ,অসুখ,ɔʃukʰ,অসুস্থ,ɔʃust̪ʰo,Illness,,
অসুস্থতার,os̪us̪t̪ʰɔt̪arɔ,অসুস্থতার,ɔʃust̪ʰot̪ɐɾ,বেমারর,bemɐɾoɾ,অসুস্থতার,ɔʃust̪ʰot̪ɐɾ,অসুস্থতার,ɔʃust̪ʰot̪ɐɾ,অসুস্ততার,ɔʃust̪ot̪ɐɾ,Illness,,
আকাশে,akaɕe,আকাশে,ɐkɐʃe,আখাশর,ɐkʰɐʃoɾ,আকাশে,ɐkɐʃe,আকাশে,ɐkɐʃe,আস্সানর,ɐssɐnoɾ,In the sky,,
চলোনা,t͡ɕɔl̪on̪a,লও,lɔ͡o̯,চলোনা,cɔlonɐ,চলোনা,cɔlonɐ,চলোনা,cɔlonɐ,আডো,ɐdo,Not moving,,
চাইলে,t͡ɕail̪e,চাইলে,cɐ͡ɪ̯le,মন,mon,চাইলে,cɐ͡ɪ̯le,চাইলে,cɐ͡ɪ̯le,চাইলে,cɐ͡ɪ̯le,In wanting,,
চাওয়ার,t͡ɕaoe̯arɔ,চাওয়ার,cɐ͡o̯ʷɐɾ,চাওয়ার,cɐ͡o̯ʷɐɾ,চাওয়ার,cɐ͡o̯ʷɐɾ,চাওয়ার,cɐ͡o̯ʷɐɾ,চন,cɔn,Seeking,,
চাকরি,t͡ɕakri,চাকরি,cɐkɾɪ,চাকরি,cɐkɾɪ,চাকরি,cɐkɾɪ,চাকরি,cɐkɾɪ,চঅরি,cɔ͡o̯ɾɪ,Employment,,
চাকরির,t͡ɕakrirɔ,চাকরির,cɐkoɾɪɾ,দিয়া,d̪ɪʲɐ,চাকরির,cɐkoɾɪɾ,চাকরির,cɐkoɾɪɾ,চরির,coɾɪɾ,Job,,
চাচ্ছিল,t͡ɕat͡ɕt͡ɕʰil̪ɔ,যেন,ɟeno,যাতে,ɟɐt̪e,চাইতাসিল,cɐ͡ɪ̯t̪ɐʃɪl,চাইতেছিলো,cɐ͡ɪ̯t̪ecʰɪlo,ছার,cʰɐɾ,Sought -after,,
চানাচুরওয়ালাকে,t͡ɕan̪at͡ɕuroe̯al̪ake,চানাচুরয়আলারে,cɐnɐcuɾɔʲɐlɐɾe,চানাচুরআলারে,cɐnɐcuɾɐlɐɾe,চানাচুরওয়ালারে,cɐnɐcuɾoʷɐlɐɾe,চানাচুরওয়ালারে,cɐnɐcuɾoʷɐlɐɾe,চানাচুরবালত,cɐnɐcuɾbɐlɔt̪o,Chanachurwala,,
চাপাবাজি,t͡ɕapabad͡ʑi,চাডামি,cɐdɐmɪ,ছাপা,cʰɐpɐ,চাপাবাজি,cɐpɐbɐɟɪ,চাপাবাজি,cɐpɐbɐɟɪ,গাল,gɐl,Pressing,,
চিল্লাচিল্লি,t͡ɕil̪l̪at͡ɕil̪l̪i,চিল্লাচিল্লি,cɪllɐcɪllɪ,চিল্লানি,cɪllɐnɪ,চিল্লাচিল্লি,cɪllɐcɪllɪ,চিল্লাচিল্লি,cɪllɐcɪllɪ,চিল্লাচিল্লি,cɪllɐcɪllɪ,Chillachi,,
চুলায়,t͡ɕul̪ae̯ɔ,উনানে,unɐne,চুলায়,culɐe̯,চুলায়,culɐe̯,চুলা,culɐ,চুলাত,culɐt̪,In the oven,,
চুলে,t͡ɕul̪e,চুলে,cule,চুলো,culo,চুলে,cule,চুলে,cule,চুলত,culɔt̪o,In the hair,,
চেষ্টা,t͡ɕeʂta,থাহার,ceʃtɐ,লউয়ার,lɔ͡u̯ʲɐɾ,চেষ্টা,ceʃtɐ,চেষ্টা,ceʃtɐ,চেস্টা,ceʃtɐ,Attempt,,
চেহারার,t͡ɕehararɔ,সুন্দরই,ʃund̪ɔɾɪ,সুন্দর,ʃund̪ɔɾ,চেহারার,cehɐɾɐɾ,চেহারার,cehɐɾɐɾ,সুন্দর,ʃund̪ɔɾ,Appearance,,
ছলছল,t͡ɕʰɔl̪ɔt͡ɕʰɔl̪ɔ,ভিজা,bʱɪɟɐ,ও,o,ছলছল,cʰolcʰɔl,কান,kɐn,ছল,cʰɔl,Rugged,,
ছোটবেলায়,t͡ɕʰotbel̪ae̯ɔ,ল্যাদাকালে,lɛd̪ɐkɐle,ছোটকাল,cʰotokɐl,ছোটবেলায়,cʰotobelɐe̯,ছোড,cʰod,গুরা,guɾɐ,In childhood,,
ছোটোবেলা,t͡ɕʰotobel̪a,ল্যাদাকাল,lɛd̪ɐkɐl,ছোট,cʰoto,ছোটোবেলা,cʰotobelɐ,ছোডবেলা,cʰodobelɐ,গুরা,guɾɐ,Childish,,
জগৎকে,d͡ʑɔɡɔt̪ɔke,জগতেরে,ɟɔgot̪eɾe,জগতরে,ɟɔgot̪ɔɾe,জগৎরে,ɟɔgot̪ɾe,জগতেরে,ɟɔgot̪eɾe,যগতরে,zɔgɔt̪ɔɾe,In the world,,
জড়িয়ে,d͡ʑɔɽie̯e,জড়াইছে,ɟɔɽɐ͡ɪ̯cʰe,জড়ায়,ɟɔɽɐe̯,জড়ায়,ɟɔɽɐe̯,জড়াই,zɔɽɐ͡ɪ̯,জড়াইয়ে,zɔɽɐ͡ɪ̯ʲe,Hugged,,
জনসংখ্যা,d͡ʑɔn̪ɔs̪ɔŋkʰd͡za,জনসংখ্যা,ɟɔnoʃɔŋkʰkʰɐ,ওর,oɾ,জনসংখ্যা,ɟɔnoʃɔŋkʰkʰɐ,জনসংখ্যা,ɟɔnoʃɔŋkʰkʰɐ,যনসংক্যা,zɔnoʃɔŋkkɐ,Population,,
জনসংখ্যার,d͡ʑɔn̪ɔs̪ɔŋkʰd͡zarɔ,জনসংখ্যার,ɟɔnoʃɔŋkʰkʰɐɾ,ওর,oɾ,জনসংখ্যার,ɟɔnoʃɔŋkʰkʰɐɾ,এর,e,যনসংখ্যার,zɔnoʃɔŋxxɐɾ,Population,,
জনেরই,d͡ʑɔn̪eri,জনেরই,ɟɔneɾɪ,দুয়োজনর,d̪uʲozonoɾ,জনেরই,d̪ɪt̪ɪʲo,জনেরই,zɔneɾɪ,বিয়া,bɪʲɐ,On the other,,
জব,d͡ʑɔbɔ,জব,ɟɔbo,ফছন্দ,fɔcʰond̪o,জব,ɟɔbo,জব,zɔbo,নো,no,Job,,
জবাবে,d͡ʑɔbabe,উত্তরে,ut̪t̪ɔɾe,ওর,oɾ,জবাবে,ɟɔbɐbe,জবাবে,ɟɔbɐbe,হোনো,hono,In response,,
জাগায়,d͡ʑaɡae̯ɔ,এইহানে,e͡ɪ̯hɐne,জাগাত,zɐgɐt̪,জাগায়,ɟɐgɐe̯,জাগাত,ɟɐgɐt̪,যায়গাত,zɐʲgɐt̪,Wake up,,
জানো?,d͡ʑan̪o?,জানো?,ɟɐno?,জানো,ɟɐno,জানো?,ɟɐno?,জানো,ɟɐno,যানোনে?,zɐnone?,Do you know,,
জামরুল,d͡ʑamrul̪ɔ,লকট,lɔkt,জামির,ɟɐmɪɾ,জামরুল,ɟɐmɾul,জামরুল,zɐmɾul,জামরুল,ɟɐmɾul,Jamrul,,
জাম্বুরা,d͡ʑambura,ছোলোম,cʰolom,জাম্বুরা,ɟɐmbuɾɐ,কিন্না,kɪnnɐ,আইঞ্চে,ɐ͡ɪ̯nce,কিনি,kɪnɪ,Jambura,,
জায়গায়,d͡ʑae̯ɡae̯ɔ,ঘোরতে,gʱoɾt̪e,জেগাত,ɟegɐt̪,ঘুরতে,gʱuɾt̪e,জায়গায়,ɟɐʲgɐe̯,ইয়ান,ɪʲɐn,In place,,
জায়গায়,d͡ʑae̯ɡae̯ɔ,হানে,hɐne,জেগাত,ɟegɐt̪,জায়গায়,ɟɐʲgɐe̯,জায়গাত,ɟɐʲgɐt̪,মিক্কে,mɪkke,In place,,
জিতে,d͡ʑit̪e,জিততা,ɟɪt̪ɔt̪ɐ,জিতি,ɟɪt̪ɪ,জিত্তা,ɟɪt̪t̪ɐ,জিতি,ɟɪt̪ɪ,জিতি,zɪt̪ɪ,Winning,,
জুড়িয়ে,d͡ʑuɽie̯e,জুড়াইয়া,ɟuɽɐ͡ɪ̯ʲɐ,দৃশ্যয়,d̪ɾɪʃʃɔe̯,জুড়িয়ে,ɟuɽɪʲe,দেই,d̪e͡ɪ̯,চোক,cok,Overwhelmed,,
জুম্মার,d͡ʑummarɔ,জুম্মার,ɟummɐɾ,জুম্মা,ɟummɐ,জুম্মার,ɟummɐɾ,জুম্মার,ɟummɐɾ,জুমার,ɟumɐɾ,Jumma,,
জেগে,d͡ʑeɡe,জাইজ্ঞা,ɟɐ͡ɪ̯ggɐ,রাইত,ɾɐ͡ɪ̯t̪o,জাইজ্ঞা,ɟɐ͡ɪ̯ggɐ,লগে,lɔge,হতা,hɔt̪ɐ,Wake up,,
জেনে,d͡ʑen̪e,জাইননা,ɟɐ͡ɪ̯nnɐ,জানিলাইছি,zɐnɪlɐ͡ɪ̯cʰɪ,জাইন্না,ɟɐ͡ɪ̯nnɐ,জানি,ɟɐnɪ,জানি,zɐnɪ,Knowingly,,
জ্বালা,d͡ʑbal̪a,জ্বালা,ɟɐlɐ,জ্বালা,ɟɐlɐ,জ্বালা,ɟɐlɐ,জ্বালা,ɟɐlɐ,জালা,zɐlɐ,Irritation,,
জড়ায়,d͡ʑɔɽae̯ɔ,জড়াইয়া,ɟɔɽɐ͡ɪ̯ʲɐ,জড়াই,ɟɔɽɐ͡ɪ̯,জড়ায়া,ɟɔɽɐʲɐ,জড়াই,ɟɔɽɐ͡ɪ̯,যাইতেম,ɟɐ͡ɪ̯t̪em,In a hurry,,
জড়িয়ে,d͡ʑɔɽie̯e,জাবরাইয়া,ɟɐbɾɐ͡ɪ̯ʲɐ,জড়াইয়া,ɟɔɽɐ͡ɪ̯ʲɐ,জড়ায়া,ɟɔɽɐʲɐ,জড়াই,ɟɔɽɐ͡ɪ̯,বেরাই,beɾɐ͡ɪ̯,Hugged,,
ঝগড়া,d͡ʑ̤ɔɡɔɽa,কাইজ্জা,kɐ͡ɪ̯ɟɟɐ,ঝগড়া,ɟʱɔgɽɐ,ঝগড়া,ɟʱɔgɽɐ,কইজ্জা,ko͡ɪ̯ɟɟɐ,নেই,ne͡ɪ̯,Quarrelsome,,
ঝগড়া,d͡ʑ̤ɔɡɔɽa,কাইজ্জা,kɐ͡ɪ̯ɟɟɐ,মাইর,mɐ͡ɪ̯ɾ,ঝগড়া,ɟʱɔgɽɐ,কাইজ্জা,kɐ͡ɪ̯ɟɟɐ,অইদে,ɔ͡ɪ̯d̪e,Quarrelsome,,
ঝগড়াঝাটি,d͡ʑ̤ɔɡɔɽad͡ʑ̤ati,কাইজ্জা,kɐ͡ɪ̯ɟɟɐ,ঝগড়াঝাটি,ɟʱɔgɽɐɟʱɐtɪ,ঝগড়াঝাটি,ɟʱɔgɽɐɟʱɐtɪ,ঝগড়াঝাটি,ɟʱɔgɽɐɟʱɐtɪ,শুরু,ʃuɾu,Quarrelsome,,
ঝগড়ার,d͡ʑ̤ɔɡɔɽarɔ,কাইজ্জার,kɐ͡ɪ̯ɟɟɐɾ,ঝগড়ার,ɟʱɔgɽɐɾ,ঝগড়ার,ɟʱɔgɽɐɾ,ঝগড়ার,ɟʱɔgɽɐɾ,বিষয়,bɪʃɔe̯,Quarrelsome,,
ঝামেলা,d͡ʑ̤amel̪a,কাইজ্জা,t̪ʰɐhe,ঝামেলা,ɟʱɐmelɐ,ঝামেলা,ɟʱɐmelɐ,ঝামেলা,ɟʱɐmelɐ,যামিলা,t̪ɐke,Disturbance,,
ঝাল,d͡ʑ̤al̪ɔ,ঝালমুড়ি,ɟʱɐlmuɽɪ,ঝাল,ɟʱɐl,ঝাল,muɽɪ,ঝালমুড়ি,ɟʱɐlmuɽɪ,ঝাল,ɟʱɐl,Squeeze,,
ঝে,d͡ʑ̤e,মাঝে,mɐɟʱe,মাঝে,mɐɟʱe,মাঝে,mɐɟʱe,মাঝে,mɐzʱe,মাঝদ্দি,mɐzʱd̪d̪ɪ,Squeeze,,
ঝোল,d͡ʑ̤ol̪ɔ,হুররা,huɾɾɐ,ঝোল,ɟʱol,ঝোল,ɟʱol,ঝোল,ɟʱol,ঝোল,zʱol,Jerk,,
টা,ta,ডা,dɐ,হুনিয়া,hunɪʲɐ,হুইন্না,hu͡ɪ̯nnɐ,গা,gɐ,ইয়ান,ɪʲɐn,T,,
টি,ti,ডা,dɐ,টা,tɐ,টি,tɪ,বছরে,bɔcʰoɾe,বছর,bɔcʰoɾ,T,,
টিকবে,tikbe,টেকপে,tekpe,টিকতো,tɪkt̪o,টিকব,tɪkb,সংসার,ʃɔŋʃɐɾ,ইবার,ɪbɐɾ,Sustainable,,
টিভি,tib̤i,টিবি,tɪbɪ,টিভি,tɪbʱɪ,টিভি,tɪbʱɪ,টিভি,tɪbʱɪ,টিবি,tɪbɪ,TV,,
টেনে,ten̪e,টেনে,tene,টেনে,tene,টেনে,tene,টেনে,tene,টেনত,tent̪o,Dragged,,
টেবিলে,tebil̪e,টেবিলে,tebɪle,খানি,xɐnɪ,টেবিলে,tebɪle,সময়মতো,ʃɔmɔʲmɔt̪o,টেবিলোত,tebɪlot̪o,On the table,,
টেলিভিশন,tel̪ib̤iɕɔn̪ɔ,টিভি,tɪbʱɪ,টিভি,tɪbʱɪ,টেলিভিশন,telɪbʱɪʃon,টেলিভিশন,telɪbʱɪʃon,টেলিভিশন,telɪvɪʃon,Television,,
টেলিভিশনে,tel̪ib̤iɕn̪e,টিভিতে,tɪbʱɪt̪e,টিভিত,tɪbʱɪt̪o,টেলিভিশনে,kɔt̪ʰɐ,টেলিভিশনে,telɪbʱɪʃone,টেলিভিশনর,telɪvɪʃonɔɾ,On television,,
টেলিভিশনের,tel̪ib̤iɕn̪erɔ,টিভি'র,tɪbʱɪ'ɾo,টিভির,tɪbʱɪɾ,টেলিভিশনের,telɪbʱɪʃoneɾ,টেলিভিশনের,telɪbʱɪʃoneɾ,টেলিভিশন,telɪvɪʃon,Television,,
ট্রেনিং,tren̪iŋ,টেরনিং,teɾonɪŋ,ট্রেনিং,tɾenɪŋ,ট্রেনিং,tɾenɪŋ,ট্রেনিং,tɾenɪŋ,ট্রেনিং,tɾenɪŋ,Training,,
ট্রেনে,tren̪e,টেরেনে,teɾene,ওর,oɾ,ট্রেইনে,tɾe͡ɪ̯ne,ট্রেইনে,tɾe͡ɪ̯ne,ট্রেনর,tɾenoɾ,On the train,,
ঠকাইছে,tʰɔkait͡ɕʰe,ঠগাইছে,tʰɔgɐ͡ɪ̯cʰe,ঠকাইছে,tʰɔkɐ͡ɪ̯cʰe,ঠকাইসে,tʰɔkɐ͡ɪ̯ʃe,আরে,ɐɾe,আরে,ɐɾe,Cheating,,
ঠিকই,tʰiki,ঠিকই,tʰɪkɪ,ঠিক,tʰɪk,ঠিকই,tʰɪkɪ,ঠিকই,tʰɪkɪ,ঠিকি,tʰɪkɪ,Right away,,
ডাকেনি,daken̪i,বোলায়নাই,bolɐʲnɐ͡ɪ̯,কইয়া,ko͡ɪ̯ʲɐ,ডাহে,dɐhe,করিও,koɾɪ͡o̯,ন,nɔ,Did not call,,
ডিউটিতে,diutit̪e,তে,t̪e,ডিউটিত,dɪ͡u̯tɪt̪o,ডিউটিতে,dɪ͡u̯tɪt̪e,ডিউটিতে,dɪ͡u̯tɪt̪e,ডিউটি'ত,dɪ͡u̯tɪ't̪o,On duty,,
ডিজাইন,did͡ʑain̪ɔ,ডিজাইন,dɪɟɐ͡ɪ̯n,ডিজাইন,dɪɟɐ͡ɪ̯n,ডিজাইন,dɪɟɐ͡ɪ̯n,তৈরি,t̪o͡ɪ̯ɾɪ,ডিজাইন,dɪzɐ͡ɪ̯n,Designing,,
ডিভোর্স,dib̤ors̪ɔ,ডিফোর্স,dɪpʰoɾs,ডিভোর্স,dɪbʱoɾs,ডিভোর্স,dɪbʱoɾs,ডিভোর্স,dɪbʱoɾs,তালাক,t̪ɐlɐk,Divorce,,
ডুবে,dube,যাইতেয়াছি,ɟɐ͡ɪ̯t̪eʲɐcʰɪ,যাইয়ার,ɟɐ͡ɪ̯ʲɐɾ,ডুইববা,du͡ɪ̯bbɐ,ডুবি,dubɪ,ডুবি,dubɪ,Drowning,,
ড্রয়িংরুমে,dre̯iŋrume,আছে,ɐcʰe,আছে,ɐcʰe,ড্রয়িংরুমে,dɾoʲɪŋɾume,রইসে,ɾo͡ɪ̯ʃe,আসি,ɐʃɪ,In the drawing room,,
ঢাকা,d̤aka,ঢাকা,dʱɐkɐ,ঢাকা,dʱɐkɐ,ঢাকা,dʱɐkɐ,ঢাকার,dʱɐkɐɾ,ঢাকার,dʱɐkɐɾ,Dhaka,,
ঢাকাতে,d̤akat̪e,ঢাহায়,dʱɐhɐe̯,ঢাকাত,dʱɐkɐt̪,ঢাকাত,dʱɐkɐt̪,ঢাকাত,dʱɐkɐt̪,এক্কা,ɛkkɐ,In Dhaka,,
ঢাকায়,d̤akae̯ɔ,ঢাহায়,dʱɐhɐe̯,ঢাকা,dʱɐkɐ,ঢাকায়,dʱɐkɐe̯,ঢাকায়,dʱɐkɐe̯,ঢাহাত,dʱɐhɐt̪,In Dhaka,,
ঢাকার,d̤akarɔ,ঢাকার,dʱɐkɐɾ,ঢাকার,dʱɐkɐɾ,ঢাকার,dʱɐkɐɾ,ঢাকার,dʱɐkɐɾ,ডাহার,dɐhɐɾ,Dhaka,,
ঢাকায়,d̤akae̯ɔ,ঢাকায়,dʱɐkɐe̯,এখন,ɛkʰon,আইসে,ɐ͡ɪ̯ʃe,ঢাকাত,dʱɐkɐt̪,ডাকাত,dɐkɐt̪,In Dhaka,,
তখনই,t̪ɔkʰɔn̪i,তহনই,t̪ɔhonɪ,হ,ho,তহনই,t̪ɔhonɪ,এ,e,টিক,tɪk,Right then,,
ততদিন,t̪ɔt̪ɔd̪in̪ɔ,হেইদিন,he͡ɪ̯d̪ɪn,থাখবো,t̪ʰɐkʰbo,ততদিন,t̪ɔt̪od̪ɪn,ততদিন,t̪ɔt̪od̪ɪn,নাম,nɐm,In those days,,
ততদিনে,t̪ɔt̪ɔd̪in̪e,অতদিনে,ɔt̪od̪ɪne,ততদিনে,t̪ɔt̪od̪ɪne,ততদিনে,ɐmɪ,ততদিনে,t̪ɔt̪od̪ɪne,ততদিনত,t̪ɔt̪od̪ɪnt̪o,By that day,,
ততোদিনে,t̪ɔt̪od̪in̪e,ততদিনে,t̪ɔt̪od̪ɪne,ততদিনে,t̪ɔt̪od̪ɪne,ততোদিনে,ɐmɪ,ততোদিনে,t̪ɔt̪od̪ɪne,ততোদিনত,t̪ɔt̪od̪ɪnt̪o,In that day,,
তাকাও,t̪akao,চাও,cɐ͡o̯,চাও,cɐ͡o̯,তাকাও,t̪ɐkɐ͡o̯,রেনো,ɾeno,ওদ্দো,od̪d̪o,Look,,
তাকালেন,t̪akal̪en̪,চাইলো,cɐ͡ɪ̯lo,চাইলা,cɐ͡ɪ̯lɐ,তাকাইলেন,t̪ɐkɐ͡ɪ̯len,রেইনলেন,ɾe͡ɪ̯nlen,সাই,sɐ͡ɪ̯,Looked,,
তাকিয়ে,t̪akie̯e,চাইয়া,cɐ͡ɪ̯ʲɐ,তাকিয়া,t̪ɐkɪʲɐ,তাকাইয়া,t̪ɐkɐ͡ɪ̯ʲɐ,রেনি,ɾenɪ,সাইয়েরে,ʃɐ͡ɪ̯ʲeɾe,Looked,,
তাকিয়ে,t̪akie̯e,চাইয়া,cɐ͡ɪ̯ʲɐ,চাইয়া,cɐ͡ɪ̯ʲɐ,তাকায়া,t̪ɐkɐʲɐ,তাকাই,t̪ɐkɐ͡ɪ̯,চাই,cɐ͡ɪ̯,Looked,,
তাদেও,t̪ad̪eo,হ্যাগোও,hɛgo͡o̯,তারার,t̪ɐɾɐɾ,হেরার,heɾɐɾ,হেতাগো,het̪ɐgo,ইতারা,ɪt̪ɐɾɐ,Tad,,
তাদেরকে,t̪ad̪erke,হ্যাগোরে,hɛgoɾe,তাদেরকে,t̪ɐd̪eɾke,হেরারে,heɾɐɾe,বেয়ানে,beʲɐne,তারার,t̪ɐɾɐɾ,By them,,
তাপমাত্রা,t̪apmat̪ra,তাপমাত্রা,t̪ɐpmɐt̪ɾɐ,তাপমাত্রা,t̪ɐpmɐt̪ɾɐ,তাপমাত্রা,t̪ɐpmɐt̪ɾɐ,তাফমাত্রা,t̪ɐpʰmɐt̪ɾɐ,তাপমাত্রা,t̪ɐpmɐt̪ɾɐ,Temperature,,
তার,t̪ar,হ্যার,hɛɾ,কাটে,kɐte,হের,heɾ,হেতির,het̪ɪɾ,ইতার,ɪt̪ɐɾ,Herself,,
তার,t̪arɔ,হ্যার,hɛɾ,তার,t̪ɐɾ,তার,t̪ɐɾ,হেতির,het̪ɪɾ,তার,t̪ɐɾ,Herself,,
তারপরেও,t̪arɔpɔreo,হেরপরেও,kɪɾ,এরবাদেও,eɾbɐd̪e͡o̯,তারফরেও,t̪ɐɾpʰɔɾe͡o̯,তারপর,t̪ɐɾpɔɾ,ফুইন্নি,t̪ɐɾfɔɾo,Even after,,
তাহলেই,t̪ahɔl̪ei,হেইলেই,he͡ɪ̯le͡ɪ̯,তে,t̪e,তাইলেই,t̪ɐ͡ɪ̯le͡ɪ̯,তাইলেই,t̪ɐ͡ɪ̯le͡ɪ̯,তাইলে,t̪ɐ͡ɪ̯le,Only then,,
তাড়াতাড়ি,t̪aɽat̪aɽi,জলদি,ɟɔld̪ɪ,একটু,ektu,তাড়াতাড়ি,t̪ɐɽɐt̪ɐɽɪ,সবরে,ʃɔbɾe,হারাহারি,hɐɾɐhɐɾɪ,In a hurry,,
তিশার,t̪iɕarɔ,তিশার,t̪ɪʃɐɾ,তিশার,t̪ɪʃɐɾ,তিশার,t̪ɪʃɐɾ,তিশার,t̪ɪʃɐɾ,তিশার,t̪ɪʃɐɾ,Tisara,,
তুলতে,t̪ul̪t̪e,তোলতে,t̪olt̪e,তুলা,t̪ulɐ,তুলতে,t̪ult̪e,তুলতে,t̪ult̪e,তুলি,t̪ulɪ,Cotton,,
তুলনায়,t̪ul̪n̪ae̯ɔ,চাইয়া,cɐ͡ɪ̯ʲɐ,তাকি,t̪ɐkɪ,তুলনায়,t̪ulnɐe̯,তুলনা,t̪ulnɐ,তুলনায়,t̪ulnɐe̯,In comparison,,
