bangla_speech,combined,ipa_output
তোমাকে আমি কল দিবো না,Mymensingh তোমারে আমি কল দিতাম না,mɔʲensɪn t̪omɐɾe ɐmɪ kɔl d̪ɪt̪ɐm nɐ
এই জিনিষটা খুবই বিরক্তিকর ছিল,Mymensingh এই জিনিসটা অনেক বিরক্তিকর আছিল,menʃɪn e͡ɪ̯ ɟɪnɪʃtɐ ɔnek bɪɾokt̪ɪkɔɾ ɐcʰɪlo
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,Mymensingh সে সিলেট থাইকা আমার সাথে দেখা করতে আইসিল,menʃɪn ʃe sɪlet t̪ʰɐ͡ɪ̯kɐ ɐmɐɾ ʃɐt̪ʰe d̪ɛkʰɐ koɾt̪e ɐ͡ɪ̯sɪl
সে এখন রাজশাহী চলে গেছে,Mymensingh সে এহন রাজশাহী চইলা গেসে,menʃɪng ʃe ehon ɾɐɟʃɐhɪ cɔ͡ɪ̯lɐ gese
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,Mymensingh সে এহন তার বন্ধুরার সাথে সিগারেট খায়,mɔʲensɪn ʃe ehon t̪ɐɾ bond̪ʱuɾɐɾ ʃɐt̪ʰe ʃɪgɐɾet kʰɐe̯
সে একদমই হাসে না,Mymensingh সে এক্কেরেই হাসেনা,menʃɪng ʃe ɛkkeɾe͡ɪ̯ hɐʃenɐ
সে আমাকে অপমান করে,Mymensingh সে আমারে অপমান করে,menʃɪn ʃe ɐmɐɾe ɔpomɐn koɾe
তাঁর বই পরতে একদমই ভাল লাগে না,Mymensingh তার বই পড়তে এক্কেরেই ভালালাগেনা,menoʃɪng t̪ɐɾ bo͡ɪ̯ poɽt̪e ɛkkeɾe͡ɪ̯ bʱɐlɐlɐgenɐ
আপনার কি বই পড়ার অভ্যাস আছে ?,Mymensingh আফনের কি বই পড়ার অভ্যাস আসে?,mɔʲenʃɔn ɐpʰoneɾ kɪ bo͡ɪ̯ pɔɽɐɾ ɔbbʱɐʃ ɐʃe?
তুমি কি আমাকে চিনো ?,Mymensingh তুমি কি আমারে চিনো?,mɔnoʃɪn t̪umɪ kɪ ɐmɐɾe cɪno?
আমি তোমাকে চিনতে  পারলাম  না,Mymensingh আমি তোমারে চিনতে পারলাম না,mɔʲensɪg ɐmɪ t̪omɐɾe cɪnt̪e pɐɾlɐm nɐ
আমি তোমাকে আগে কখনো দেখি নাই,Mymensingh আমি তোমারে আগে কখনো দেখি নাই,mɔʲenʃɔn ɐmɪ t̪omɐɾe ɐge kɔkʰono d̪ekʰɪ nɐ͡ɪ̯
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,Mymensingh আমার পড়ালেহা করতে এক্কেরেই ভালালাগেনা,menoʃɔn ɐmɐɾ pɔɽɐlehɐ koɾt̪e ɛkkeɾe͡ɪ̯ bʱɐlɐlɐgenɐ
আপনার পড়ালেখা করা উচিত,Mymensingh আপনের পড়ালেহা করা দরকার,mɪnʃɪn ɐponeɾ pɔɽɐlehɐ kɔɾɐ d̪ɔɾkɐɾ
আপনাকে পড়ালেখা  করতে হবে,Mymensingh আপনের পড়ালেহা করতে হইব,menʃɪn ɐponeɾ pɔɽɐlehɐ koɾt̪e ho͡ɪ̯bo
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,Mymensingh আপনের কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,menʃɪn ɐponeɾ kɪ pɔɽɐlehɐ koɾt̪e ɛkkeɾe͡ɪ̯ bʱɐlɐlɐge nɐh?
তোর পড়ালেখা কোরতে হবে,Mymensingh তর পড়ালেহা করতে হইব,mɔʲensɪng t̪ɔɾ pɔɽɐlehɐ koɾt̪e ho͡ɪ̯bo
তুই কি আর পড়ালেখা করবি নাহ ?,Mymensingh তুই কি আর পড়ালেহা করতি নাহ?,mɔʲenʃɪn t̪u͡ɪ̯ kɪ ɐɾ pɔɽɐlehɐ koɾt̪ɪ nɐh?
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,Mymensingh তুই কি পড়ালেহা ছাইরা দিতে চাস?, mɔʲensɪn t̪u͡ɪ̯ kɪ pɔɽɐlehɐ cʰɐ͡ɪ̯ɾɐ d̪ɪt̪e cɐʃ?
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,Mymensingh তর কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,menʃɪng t̪ɔɾ kɪ pɔɽɐlehɐ koɾt̪e ɛkkeɾe͡ɪ̯ bʱɐlɐlɐge nɐh?
তুমি কি এখন খেতে বসবা  ?,Mymensingh তুমি কি এহন খাইতে বইবা,mɔʲenʃɔn t̪umɪ kɪ ehon kʰɐ͡ɪ̯t̪e bo͡ɪ̯bɐ
আজকে আমার খেতে ভালো লাগছে না,Mymensingh আইজকা আমার খাইতে ভালা লাগতাসেনা,mɪnʃɔn ɐ͡ɪ̯ɟkɐ ɐmɐɾ kʰɐ͡ɪ̯t̪e bʱɐlɐ lɐgt̪ɐʃenɐ
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,Mymensingh আমার ইস্কুলে অনেক বন্ধু আসে,menʃɪn ɐmɐɾ ɪskule ɔnek bond̪ʱu ɐʃe
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,Mymensingh আমার ছোট বইন ইস্কুলে যাইতে চায় না,mɔʃensɪg ɐmɐɾ cʰoto bo͡ɪ̯n ɪskule ɟɐ͡ɪ̯t̪e cɐe̯ nɐ
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,Mymensingh আমার ইস্কুলে যাইতে অনেক ভালা লাগে,menʃɔn ɐmɐɾ ɪskule ɟɐ͡ɪ̯t̪e ɔnek bʱɐlɐ lɐge
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,Mymensingh হেয় তার গেরামের একটা ইস্কুলে পড়ালেহা করে,mɪnosh hee̯ t̪ɐɾ geɾɐmeɾ ɛktɐ ɪskule pɔɽɐlehɐ koɾe
সে বিদ্যালয়ে যেতে চায় না,Mymensingh হেয় ইস্কুলে যাইতে চায় না,mɔʲenʃɪn hee̯ ɪskule ɟɐ͡ɪ̯t̪e cɐe̯ nɐ
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,Mymensingh হের ইস্কুলে যায়া পড়ালেহা করতে ভালা লাগে না, menʃɪn heɾ ɪskule ɟɐʲɐ pɔɽɐlehɐ koɾt̪e bʱɐlɐ lɐge nɐ
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,Mymensingh হেয় ইস্কুলে যায়া বন্ধুরার সাথে গল্প করে,menʃɪnh hee̯ ɪskule ɟɐʲɐ bond̪ʱuɾɐɾ ʃɐt̪ʰe gɔlpo koɾe
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,Mymensingh হেয় ইস্কুলের মাঠে প্রত্যেকদিন ক্রিকেট খেলে,menʃɪng hee̯ ɪskuleɾ mɐtʰe pɾot̪t̪ekd̪ɪn kɾɪket xele
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,Mymensingh হেয় ইস্কুলের মাঠে মাথা ঘুরায়া পইড়া গেসিল,mɔʲenʃɪng hee̯ ɪskuleɾ mɐtʰe mɐt̪ʰɐ gʱuɾɐʲɐ po͡ɪ̯ɽɐ gesɪlo
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,Mymensingh হেয় অনেকদিন আগে হের ইস্কুলের একটা ছেড়িরে ভালবাসতো,mɔʃensɪng hee̯ ɔnekd̪ɪn ɐge heɾ ɪskuleɾ ɛktɐ cʰeɽɪɾe bʱɐlbɐʃt̪o
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,Mymensingh ছেড়াটা হের গ্রামের ছোট একটা ইস্কুল থাইক্কা পড়ালেহা কইরা এসএসসি পাশ করসে, menʃɪng cʰeɽɐtɐ heɾ gɾɐmeɾ cʰoto ɛktɐ ɪskul t̪ʰɐ͡ɪ̯kkɐ pɔɽɐlehɐ ko͡ɪ̯ɾɐ eʃo͡e̯ssɪ pɐʃ koɾ
তোমাদের বাসা কোথায়?,Mymensingh তোমরার বাসা কই?,mɔnoʃɪn t̪omɾɐɾ bɐʃɐ ko͡ɪ̯?
ঢাকা বাংলাদেশের রাজধানী,Mymensingh ঢাকা বাংলাদেশের রাজধানী।,menʃɪn dʱɐkɐ bɐŋlɐd̪eʃeɾ ɾɐɟd̪ʱɐnɪ।
তুমি কি আমার সাথে প্রেম করবা?,Mymensingh তুমি কিতা আমার সাথে প্রেম করবা?,mɔʲenʃɔn t̪umɪ kɪt̪ɐ ɐmɐɾ ʃɐt̪ʰe pɾem koɾbɐ?
আমি আজকে সকালে ফুটবল খেলেছি,Mymensingh আমি আজকে সকালে ফুটবল খেলছি,mɔʲensɪn ɐmɪ ɐzke ʃɔkɐle futbɔl xelcʰɪ
আমি তোমার মনের কথা বুঝি না,Mymensingh আমি তোমার মনের কথা বুঝি না।,mɔʲensɪn ɐmɪ t̪omɐɾ moneɾ kɔt̪ʰɐ buɟʱɪ nɐ।
তোমার জন্য আমার খুব কষ্ট হয়,Mymensingh তোমার লাইজ্ঞা আমার মেলা কষ্ট হয়,mɔʲenogho t̪omɐɾ lɐ͡ɪ̯ggɐ ɐmɐɾ mɛlɐ koʃto hɔe̯
আমাদের স্বপ্ন অনেক বড়,Mymensingh আমরার স্বপ্ন মেলা বড়,mɔpno mɛlɐ bɔɽo
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,Mymensingh কম বয়স্ক একটা ছেড়া বাইরে ফুটপাতে দৌড়াইতাসে,menʃɪn kɔm bɔʲoʃko ɛktɐ cʰeɽɐ bɐ͡ɪ̯ɾe pʰutpɐt̪e d̪o͡u̯ɽɐ͡ɪ̯t̪ɐʃe
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,Mymensingh একটা ছুটো আবু বিছানাত লাফাইয়া উঠছে,menʃɪnho ɛktɐ cʰuto ɐbu bɪcʰɐnɐt̪ lɐpʰɐ͡ɪ̯ʲɐ utʰcʰe
একটি ছেলে বিছানায় লাফাচ্ছে,Mymensingh একটা ছেড়া বিছানাত লাফাইতাসে,menʃɪn ɛktɐ cʰeɽɐ bɪcʰɐnɐt̪ lɐpʰɐ͡ɪ̯t̪ɐʃe
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,Mymensingh একটা ছেড়া এক বিছানাততন আরেকটা বিছানাত লাফ দিতাসে,mɔʲensɪn ɛktɐ cʰeɽɐ ɛk bɪcʰɐnɐt̪ɔt̪on ɐɾektɐ bɪcʰɐnɐt̪o lɐpʰ d̪ɪt̪ɐʃe
একটি ছোট শিশু ফুটপাতে হাঁটছে,Mymensingh একটা ছুটো আবু ফুটপাতে হাটতাসে,menosɪng ɛktɐ cʰuto ɐbu pʰutpɐt̪e hɐtt̪ɐʃe
আমি একজন ছেলে,Mymensingh আমি একটা ছেড়া,menʃɪn ɐmɪ ɛktɐ cʰeɽɐ
আমি একজন মেয়ে,Mymensingh আমি একটা ছেড়ি,menʃɪn ɐmɪ ɛktɐ cʰeɽɪ
আমার স্বামী আমাকে খুব ভালোবাসে,Mymensingh আমার জামাই আমারে মেলা ভালবাসে,mɪnsɪng ɐmɐɾ ɟɐmɐ͡ɪ̯ ɐmɐɾe mɛlɐ bʱɐlbɐʃe
স্কুল জীবন থেকে তাদের প্রেম ছিলো,Mymensingh ইস্কুল জীবনতে তারার প্রেম আসিল,menʃɪn ɪskul ɟɪbont̪e t̪ɐɾɐɾ pɾem ɐʃɪl
আমি বিবাহ করেছি দশ বছর হয়,Mymensingh আমি বিয়া করসি দশ বছর হইসে,mɔʃenogho ɐmɪ bɪʲɐ koɾʃɪ d̪ɔʃ bɔcʰoɾ ho͡ɪ̯ʃe
অসম্ভব ভাল ছবি,Mymensingh অসম্ভব ভালা ছবি,menʃɔn ɔʃɔmvɔb vɐlɐ cʰobɪ
বহুদিন পরে একটা ভাল ছবি দেখলাম,Mymensingh মেলাদিন পরে একটা ভালা ছবি দেখলাম,mɛlɐd̪ɪn pɔɾe ɛktɐ bʱɐlɐ cʰobɪ d̪ekʰlɐm
অসম্ভব ভালো লিখেছেন,Mymensingh অসম্ভব ভালা লিখসেন,menʃɔn ɔʃɔmvɔb vɐlɐ lɪxʃen
বহুদিন পরে একটা ভালো লেখা পড়লাম,Mymensingh মেলাদিন বাদে একটা ভালা লেহা পড়লাম,mɛlɐd̪ɪn bɐd̪e ɛktɐ bʱɐlɐ lehɐ pɔɽlɐm
প্রচণ্ড মাথা ব্যথা করছিলো,Mymensingh বহুত মাথা ব্যথা করতাসিলো,mɔʲenʃɔn bohut̪ mɐt̪ʰɐ bɛt̪ʰɐ koɾt̪ɐʃɪlo
কিছুই বুঝতে পারলাম না,Mymensingh কিনুতাই বুঝতে পারলাম না,menʃɪn kɪnut̪ɐ͡ɪ̯ buɟʱt̪e pɐɾlɐm nɐ
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,Mymensingh হেয় এইডা দেইক্ষা জ্ঞান হারায়া ফালাইসে, mɔʲenʃɔn hee̯ e͡ɪ̯dɐ d̪e͡ɪ̯kkʰɐ gɛn hɐɾɐʲɐ pʰɐlɐ͡ɪ̯ʃe
এক কথায় অনেক সুন্দর লাগছে আপনাকে,Mymensingh এক কথায় মেলা সুন্দর লাগতাসে আফনেরে,mɔʲenʃɔg ɛk kɔt̪ʰɐe̯ mɛlɐ ʃund̪ɔɾ lɐgt̪ɐʃe ɐpʰoneɾe
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,Mymensingh আফনের ছবিরতন আফনে বাস্তবে বেশি সুন্দর,menʃɪn ɐpʰoneɾ cʰobɪɾɔt̪on ɐcʰone bɐst̪obe beʃɪ ʃund̪ɔɾ
আপনার হাশির কাছে সব কিছু হার মেনে যায়,Mymensingh আফনের হাসির কাসে বেক কিসু হার মানে,menʃɪn ɐpʰoneɾ hɐʃɪɾ kɐʃe bek kɪʃu hɐɾ mɐne
আপনার চোখ অনেক সুন্দর,Mymensingh আফনের চোখ মেলা সুন্দর,menoʃɔg ɐpʰoneɾ cokʰ mɛlɐ ʃund̪ɔɾ
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,Mymensingh আফনের লগে পরিচিত হয়া ভালা লাগলো,menʃɪn ɐpʰoneɾ lɔge poɾɪcɪt̪o hɔʲɐ bʱɐlɐ lɐglo
অনেক সময় পর আপনাকে দেখছি,Mymensingh মেলা সময় বাদে আফনেরে দেখতাসি,mɔʲenʃɪgh mɛlɐ ʃɔmɔe̯ bɐd̪e ɐpʰoneɾe d̪ekʰt̪ɐʃɪ
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,Mymensingh দুই ভাইয়ের মধ্যে জায়গা জমি লয়া ঝগড়া হয়,menoʃɪng d̪u͡ɪ̯ bʱɐ͡ɪ̯ʲeɾ mod̪d̪ʱe ɟɐʲgɐ ɟomɪ lɔʲɐ ɟʱɔgɽɐ hɔe̯
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,Mymensingh বাদে এক ভাই কুয়েত যায়গা আরেক ভাই সুদান যায়গা,mɔʲensɪn bɐd̪e ɛk bʱɐ͡ɪ̯ kuʲet̪ ɟɐʲgɐ ɐɾek bʱɐ͡ɪ̯ ʃud̪ɐn ɟɐʲgɐ
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,Mymensingh কয়েকদিন বাদে সুদান ফিরত বেডাটা বিয়া করে,menʃɪn bɐd̪e ʃud̪ɐn pʰɪɾɔt̪o bedɐtɐ bɪʲɐ koɾe
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","Mymensingh মুবাইল ছাড়া লেট্রিনে গেলে, লাগে যে জরুরি ফাইল ছাড়া অফিসে বয়া আসি","mɔʲɪng mubɐ͡ɪ̯l cʰɐɽɐ letɾɪne gele, lɐge ɟe ɟoɾuɾɪ pʰɐ͡ɪ̯l cʰɐɽɐ ɔpʰɪse bɔʲɐ ɐʃɪ"
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,Mymensingh যারার গালি দেওয়ন হয়া গেসে তারা দয়া কইরা লাইনেরতন সইরা যান,mɔʲensɪn ɟɐɾɐɾ gɐlɪ d̪e͡o̯ʲon hɔʲɐ gese t̪ɐɾɐ d̪ɔʲɐ ko͡ɪ̯ɾɐ lɐ͡ɪ̯neɾt̪ɔn ʃo͡ɪ̯ɾɐ ɟ
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,Mymensingh পিছনে এহনো অনেক মানুষ লাইনে খারায়া আসে,menʃɪnh pɪcʰone ehono ɔnek mɐnuʃ lɐ͡ɪ̯ne kʰɐɾɐʲɐ ɐʃe
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,Mymensingh হেরারে গালি দেওনের সুযোগ কইরা দেন,mɔʲenʃɔn heɾɐɾe gɐlɪ d̪e͡o̯neɾ ʃuɟog ko͡ɪ̯ɾɐ d̪ɛn
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,Mymensingh খুব বেশি কিসু কইতাম না কারন আবেগে চোখে পানি চইলা আইসে, mɪmenʃɪn kʰub beʃɪ kɪʃu ko͡ɪ̯t̪ɐm nɐ kɐɾon ɐbege cokʰe pɐnɪ cɔ͡ɪ̯lɐ ɐ͡ɪ̯ʃe
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,Mymensingh তুমি কইসো যেয় থাকার হেয় এমনেই থাকব,mɔʲenʃɔn t̪umɪ ko͡ɪ̯ʃeɐ ɟee̯ t̪ʰɐkɐɾ hee̯ ɛmone͡ɪ̯ t̪ʰɐkbo
প্রথমে আপনাকে একটি দোকানে যেতে হবে,Mymensingh প্রথমে আফনারে একটা দোকানে যাইতে হইব,menʃɪn pɾot̪ʰome ɐpʰnɐɾe ɛktɐ d̪okɐne ɟɐ͡ɪ̯t̪e ho͡ɪ̯bo
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,Mymensingh নিজের পছন্দের বিয়াতে বাপ মা রে রাজি করান হইল,menʃɪn nɪɟeɾ pɔcʰond̪eɾ bɪʲɐt̪e bɐp mɐ ɾe ɾɐɟɪ kɔɾɐn ho͡ɪ̯l
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,Mymensingh ছেড়িডা লাল শাড়ী পইরা খারায়া আসে,mɔʲenʃɪn cʰeɽɪdɐ lɐl ʃɐɽɪ po͡ɪ̯ɾɐ kʰɐɾɐʲɐ ɐʃe
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,Mymensingh বইয়ের লাইজ্ঞা আর বন্ধুগর মাঝখানে মুখ দেহানুর উপায় নাই,menʃɪn bo͡ɪ̯ʲeɾ lɐ͡ɪ̯ggɐ ɐɾ bond̪ʱugɔɾ mɐɟʱkʰɐne mukʰ d̪ehɐnuɾ upɐe̯ nɐ͡ɪ̯
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,Mymensingh আমারে বেকগের সামনে মারতে মারতে বাসায় নিয়া আইসে,mɪmɪnh ɐmɐɾe bekgeɾ ʃɐmne mɐɾt̪e mɐɾt̪e bɐʃɐe̯ nɪʲɐ ɐ͡ɪ̯ʃe
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,Mymensingh আমি জানি এইহানে অনেক ছেড়ি কমেন্ট পড়তে আইব,mɔʃɪng ɐmɪ ɟɐnɪ e͡ɪ̯hɐne ɔnek cʰeɽɪ kɔment poɽt̪e ɐ͡ɪ̯bo
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,Mymensingh মাঝে মাঝে লাগে ঘরবাড়ী বেক মশার নামে লেইখখা দিয়া আমি জংগলে চইল্লা যাইগা,mɔʲenʃɔn mɐɟʱe mɐɟʱe lɐge gʱɔɾbɐɽɪ bek mɔʃɐɾ nɐme le͡ɪ̯kʰkʰɐ d̪ɪʲɐ ɐmɪ ɟɔŋgole co͡ɪ̯ll
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","Mymensingh তোমার হয়া আসি আমি, তোমার হয়াই থাকবাম","mɪmɪng t̪omɐɾ hɔʲɐ ɐʃɪ ɐmɪ, t̪omɐɾ hɔʲɐ͡ɪ̯ t̪ʰɐkbɐm"
সারা জীবন তোমায় আমি ভালবেসে যাবো,Mymensingh সারাজীবন তোমায় আমি ভালোবাইসা যামু,mɔʲensɪn ʃɐɾɐɟɪbɔn t̪omɐe̯ ɐmɪ bʱɐlobɐ͡ɪ̯ʃɐ ɟɐmu
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না","Mymensingh পাশে থাইক্কো সারাজীবন, দূরে যাইয়ো না","mɔʲenoʃ pɐʃe t̪ʰɐ͡ɪ̯kko ʃɐɾɐɟɪbɔn, d̪uɾe ɟɐ͡ɪ̯ʲo nɐ"
তোমায় ছাড়া একটুও আমার ভালো লাগে না,Mymensingh তোমারে ছাড়া একটুও আমার ভালালাগেনা,mɪnʃɪn t̪omɐɾe cʰɐɽɐ ektu͡o̯ ɐmɐɾ bʱɐlɐlɐgenɐ
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ","Mymensingh কাউরে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও।","menʃɪn kɐ͡u̯ɾe ɐbegeɾ bʱɐlobɐʃɐ d̪ɪ͡o̯nɐ, moneɾ bʱɐlobɐʃɐ d̪ɪ͡o̯।"
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,Mymensingh কারন আবেগের ভালোবাসা একদিন বিবেকের কাসে হাইরা যাইব,menʃɪn kɐɾon ɐbegeɾ bʱɐlobɐʃɐ ɛkd̪ɪn bɪbekeɾ kɐʃe hɐ͡ɪ̯ɾɐ ɟɐ͡ɪ̯bo
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,Mymensingh কিতা কইরা বুঝামু তারে আমি কতডা ভালোবাসি?,menʃɪn kɪt̪ɐ ko͡ɪ̯ɾɐ buɟʱɐmu t̪ɐɾe ɐmɪ kɔt̪odɐ bʱɐle͡ɐ̯bɐʃɪ?
অনেক দিন পর তোমাকে দেখলাম,Mymensingh অনেকদিন বাদে তোমারে দেখলাম,menʃɪn bɐd̪e t̪omɐɾe d̪ekʰlɐm
